andremonoarfa;1;Min, kalau memang tidak ada BONUS 2 KAOS tidak usah menipu pembeli.. Terus ditanya sampai sekarang tidak ada respon. kualitas produk juga kurang baik.. SEMOGA TIDAK ADA LAGI YG TERTIPU. ??
m*****e;1;Udah langganan beli ke 2x nya malah bikin kapok di keterangan size s panjang 72 tapi yg datang 70cm kaya ukuran xs . Udah kancingan mau lepas 1 ada yang sobek di bagian ketiak sedikit produk ga bermutu Harga doang mahal Kualitas 0
y*****0;1;Sudah jelas ada tanda barang reject tapi tetep aja dikirim, diterima dalam keadaan ada solasi dan waktu dibuka ada sobek dikit, awalnya penjual merespon dan mnta no spay, tapi pas dikasih engga direspon lagi, sampe sekarang gaada respon, 
gelasan_huwi;1;harga segitu shi yaaaaa bahan kain nya ga bagus nyesel
vankartiwa;1;Gk hbis pikir sama ni admin toko, udh nunggu seminggu pesanan dibatalkan, alasan WILAYAH TIDAK TERJANGKAU  juga alasan di chat size SUDAH HABIS. Kapok deh belanja disini pelayananya AMATIRAN, semoga admin2 dsini mendapat hidayah biar yg lain gk ngalemin sperti saya. Thanks mamang kurirr
ajho17;1;"Jahitan pada lengannya tidak rapi.
Barang rijek kok masih di jual"
veraazlina99;1;"Bagus, sesuai dengan harga nya
Tapi untuk ukuran L besar banget"
alqurantulis.official.store;1;"Aku berniat tuker barang krn kegedean malah di tolak. Kan aku udah beli lagi checkout lagi. Barang sudah aku kirim ke seller ko dikembalikan lagi. 3X ongkir. Kalo sudah begini aku beli double ga sesuai dengan ukuran pula. Kecewa saya. Padahal barang ga ada cacat dr ku.  
Ko dikirim ke aku lg."
aris.rahman.1481;1;Kecewa saya belanja ditoko ini bahannya tipis sakunya robek pula..
teguhugetsfakemothai;1;"PESAN M DIKIRIM L
JADI KEBESARAN MANA MAU DI PAKE BESOK!"
deraino;2;Bajunya bagus. Kualitas bagus. Tapi disayangkan respon admin penjualnya yg kurang tegas. Terimakasih sudah memberikan pelayanan terbaik.
satria_ashari;2;AMAT SANGAT DI SAYANGKAN, sebenarnya produk bajunya bagus cuman penjualnya yg kurang dan pengiriman over time apakah seperti ini layak masuk shopee mall ? saya rasa tidak bajunya bagus rapi gk ada kendala ???????? tapi pelayanan ??
u*****r;2;Kecewa ngg sesuai expetasi dr harga'nya aj udh mahal, d kira'in barang datang udh bisa langsung pake ini harus d rombak lg karena ad bagian yg ke gedean kaya lengan, y dr bahan lumayan'lah walau aga tipis, tp dengan harga segitu harus'nya bahan'nya lebih bagus aku tertipu dengan harga discon'nya ???
t*****5;3;Pesannya hitam,dateng coklat gosong.kecewa bgt ya.beda bgt d bandingin sm kemeja hitam yg lain bner2 ketara bedanya
panglimaazhar;3;"Salah ambil ukuran sih.
Krna di keterangan xs panjang 70 kyk biasa aku pkai.
Tpi pas sampai gak kyk 70 biasa.malah kependekkan.
Jdi nya pas² kali bajunya."
rijalone_01;3;Bahan katun gampang lusuh, adem, tapi gampang lusuh itu, susal licinnya, Mon maaf kam
zakya_hikaru;3;Bahannya agak kaku. Lumayan panas.??Harus di setrika. Agak kecewa?? beli buat bb 50 tinggi 170 . Size M pas .
delisahera;3;Bahannya tipis dan nerawang, warna hitamnya ga pekat kaya pudar gitu. Didalem paketnya dapet masker batik. 
v*****a;3;Dulu beli yg size S kekecilan tpi kancingnya ada lebel m231nya, klo yg ini gk ada lebel m231nya. Gk konsisten.... but its ok thanks seller n mamang kurirr
fajarharahapananda;3;Jijjjjjjjjkknrnejej jjejejjrjje menjembataninya nenek-nenek dewasa yang di bayar pak Ahmad Dahlan
t*****o;3;Kmrn order yg coklat bahannya bagus, tebal & lembut.. yg hitam ini beda bahan ternyata.. lebih tipis, gampang kusut dan rada bikin gatal.. gak senyaman yg coklat.. apa karna beli pas diskon ya? 
meiiinurr;3;"Jahitannya gk rapiii semrawuttt benang e .
Warnanya juga hitamnya kurang pekatt 
Hitam mbulakkk 
Beda sama kemeja yg aku punya hitam pekat .
Gk sukaa gk sukaaaa"
liaxoxo12;3;Bahannya gak tipis jg gak tebel enak juga tapi kukiri L udah kecil ternyata kebesaran tapi bagus kok makasih kak??
y*****g;3;Kurang puas. Bahan tipis. Tidak sesuai ekspetasi. Terimakasih...
rahmameilisa;3;Barang cepet sampai dan sesuai pesanan tpi agak tipisssssya udah gpp lh ya thankyou
diah1485;3;Terima kasih..... barang sudah sampai..... respon cepat pengiriman cepat
eckoboyor;3;Bahannye tipis kaya kemeja 50 rebuan. Nyesel ah. Ukurannya juga gombrang ga sesuai describe. Kaga jelas emang barang flash sale.
s*****5;3;Lumayan
kangwasis;3;Bagus,pas di badan , Terimakasih
g*****0;3;Bahan nya tidak nyaman dipakai panas
andisahputra1;3;Mantap
w*****w;3;Terimakasih barang nya sudah sampai kualitas barangnya lumayan bagus sesuai dengan harga pekingan barang nya juga Rapi terimakasih
rismawatihidayat;3;Kemeja nya biasa ,standartnya yah lumayan lah ukuran m nya besar yah lumayan jauh dr ukuran yang ada
u*****s;3;Jhhjhgggfffgghhhhhhhhhhhhjhhhhuutfccfghhjjujnhjjyhhyyfghyyhhhjjjyhhhghhjhhh
ajiprayoga165;3;Lengannya kebesaran dan panjang banget, kurang puas
