author;rating;komentar;label
b*****d;5;Pengemasan nya cepat. Dapet harga diskon. Kemeja nya emang bagus banget bahan nya bukan yg gerah. Terima kasih;"pengiriman:pos;harga:pos;produk:pos"
d*****a;5;Kualitas bagus, harga lumayan murah apalagi dapat diskon mantap dehh;"produk:pos;harga:pos"
zanlfattah;5;Mimin responsif, rekomennya pas, harga sesuai Ama barangnya;"lapak:pos;harga:pos"
f*****s;5;Kualitas baju bagus, packing aman dan proses pengiriman cepat ??????;"produk:pos;pengiriman:pos"
ou84aa3yy5;5;Bahannya bagus, real pict pokonya ga nyesel beli di toko ini mantapn;produk:pos
nurfadhilah3012;5;Bagusssss kemeja nya sesuai dengan expetasi terimakasih banyak seller;produk:pos
f*****s;5;Bahannya bagus adem gituu.. semoga doi suka dan muat dipakenya.. thanks seller!! ??;produk:pos
d*****4;5;Bagus banget bajunya , bahan adem , lembut , datang langsung di cuci .. Dapet Harga discount + cashback;"produk:pos;harga:pos"
faisalyusi;5;Bahan adem semoga awet ukuran pas untuk saya TB: 168 cm BB: 78 kg. Thanks;produk:pos
kusumawat09;5;Ya ampunn cepet bngt sampe nya siang pesan eh bsk siang dh sampe...bahan tdk mengecewakan kualitas bagus ok...next order lg. Mksh ??;"pengiriman:pos;produk:pos"
a*****s;5;harga murah tapi kualitas oke banget, pacarku suka banget??;"harga:pos;produk:pos"
wineka_sari;5;Mantep, harga salenya murah meriah. Bahannya juga lembut dan adem;"harga:pos;produk:pos"
sofalutfianiputri;5;Ketiga kalinya beli disini, dan ga pernah mengecewakan;produk:pos
abidatum20;5;Pengiriman luamayan lama.. Tapi barangnya bagus.. Kainnya adem;"pengiriman:neg;produk:pos"
a*****6;5;Alhamdulillah sudah sampai paketnya terimakasih banyak ????????;respon:pos
meilinachen26;5;Bagus bangett... bahan ademmm.... sesuai sama yg di foto....;produk:pos
b*****7;5;Oke ka barang mendarat dengan selamat, barangnya oke banget. Pengirimannya juga lumayan cepet, pokoknya mantap banget dehh??????;"produk:pos;pengiriman:pos"
bayupratama180804;5;Sudah 2 kali belanja di toko ini,bahannya bagus, pengiriman ok;"produk:pos;pengiriman:pos"
retnoutami09;5;bagussddddddddsssssssssssssssssssssssssssssssssssss;respon:pos
muhamadhaerular;5;Mantaap barang sudah sampai pengiriman cepat pokonya ga nyesel si kalo beli kemeja selalu di sini;pengiriman:pos
endrikdoyok2801;5;Kualitas produk baik,,,produk original,,,,,packing lumayan rapih,,,,terima kasih,..........;"produk:pos;pengiriman:pos"
e*****7;5;Bagusssss bangeeeeettttt, sangat memuaskan.. next mau beli lagi;respon:pos
w.j.bagaskara;5;Alhamdulillah barang datang dgn slmt Peking rapi,bagus dan amanah Terima kasih banyak shopee ????;respon:pos
p*****t;5;Terimakasih sudah sampai kemeja nya semoga mamas suka?? maaf ga ada foto produkny;respon:pos
youfithrift;5;Barang udah sama yang pesen. Bahan bagus dan seller ramah..;"produk:pos;lapak:pos"
zidan_apitaik;5;Terimakasih paketan kami sudah sampai dan ukuran tidak salah pilih;respon:pos
f*****f;5;bagus ini maahh, buat harga segitu Alhamdulillah ??????????????????;respon:pos
ritharangkuty;5;Pesanan diterima dgn aman. Bahan oke, utk sz M tryta disuamiku masi kgedean, btw biasa dia pke M. Ga apa la bs di permak. Thanks   ;pengiriman:pos
debbykesumaangriani;5;Bahannya bagus, halus, tebal ga nerawang. Ukuran passss. Makasihhhhh??????;produk:pos
novianabr;5;Cakepppp kemejanyaaa. Tidak nerawangg. Agak pendek memang bawahnya tapi passs.;produk:pos
i*****g;5;Bahan bagus, nyaman dipakai, size juga sesuai, pas, saran sebaiknya tidak dicuci pake mesin;produk:pos
m*****e;5;bajunya bagus dan tebel tapi bahan adem, ukuran M cocok untuk tinggi 165 cm berat 60kg;produk:pos
d*****7;5;Bahan adem Pesanan sesuai Harga standrat Maaf foto ga sesuai ??;respon:pos
askme313;5;Bahan bagu, jahitan bagus, udah 2x order, customer suka.. Tankyu yaaaccchh..;produk:pos
ardi_atman_panjaitan;5;Puas bagus;respon:pos
lisaindahpra;5;Hem nya bagus... pas di badan suami.. pengiriman cepat....;"produk:pos;pengiriman:pos"
rezawasilul;5;Ahamdulillah barang sampai dengan selamat Packing aman dan sesuai dengan harapan Terimakasih dan mohon maaf  Wassalam;pengiriman:pos
all.in.storee;5;Bagus Ngepas dibadan si doi Pas banget nyari warna itam dan ini harganya terjangkauuuuu Pengirimannya jg lumayan cepet Recommend;"produk:pos;harga:pos;pengiriman:pos"
a*****7;5;Kualitas sangat baik, saya suka. Harga murah meriah. Apalagi dapat promo gratis ongkir;"produk:pos;harga:pos"
p*****w;5;Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok Ok ok;respon:pos
1*****a;5;Terimakasih pak kurir yang selalu nganterin paket terimakasi juga kak barangnya bagus sesuai dengan Gambar nga nyesel belanja disinil;"pengiriman:pos;produk:pos"
amirahmiii;5;Ternyata bahannya sebagus ini, dapet pas harga diskon keren makasih yaa pengirimannya cepet juga;"produk:pos;harga:pos;pengiriman:pos"
rosivera95;5;Bagus banget sesuai sama harga barang bagus kualitas ok banget makasih banyak;"produk:pos;harga:pos"
2*****9;5;Bajunya bahanya aga panas .....kaku gt tapi ya ok lah....kmren dapet promo jg ..... Tetep suka kok suami ku hehehe Makasih ya;respon:pos 
nizar171199;5;barang diterima dengan baik, pengiriman cepat dan kualitas tidak diragukan lagi;pengiriman:posproduk:pos
